case_id,WT,TC,ET,RC,mean_wt_tc_et,dice_1_netc,dice_2_snf_h,dice_3_et,dice_4_rc
BraTS-GLI-02164-101,0.9033555852247441,0.7301506579365584,0.9375,0.0,0.8570020810537674,0.04649905379832387,0.9518840866383147,0.9375,0.0
BraTS-GLI-02164-102,0.9010472651331347,0.7729819300875878,0.9519694533762058,0.01554579249746536,0.8753328828656427,0.05880191106210952,0.9203607313771474,0.9519694533762058,0.01554579249746536
BraTS-GLI-02164-103,0.9672888835877863,0.9076923076923077,0.905683947532792,0.9147421427331134,0.9268883796042954,0.8125,0.962854124017698,0.905683947532792,0.9147421427331134
BraTS-GLI-02164-104,0.9644241236664489,0.8405624876213111,0.8418956590999602,0.8940685336580275,0.88229409012924,0.0,0.9601227954766156,0.8418956590999602,0.8940685336580275
BraTS-GLI-02186-100,0.9480692656727475,0.7498808956646021,0.7839777387229057,0.4786269430051813,0.8273093000200852,0.08293153326904533,0.9594735093304179,0.7839777387229057,0.4786269430051813
BraTS-GLI-02186-101,0.8953424446137672,0.7157575100314499,0.7685074982147108,0.0,0.7932024842866426,0.031746031746031744,0.913783596710426,0.7685074982147108,0.0
BraTS-GLI-02186-102,0.9521180157130649,0.8431011055327673,0.8734982864459759,0.0,0.8895724692306027,0.7035315065782966,0.8397836000255878,0.8734982864459759,0.0
BraTS-GLI-02186-103,0.7580427713208442,0.13545816733067728,0.13545816733067728,0.22144898720019884,0.3429863686607329,1.0,0.7588008938588927,0.13545816733067728,0.22144898720019884
BraTS-GLI-02193-100,0.9565587060544944,0.7756160830090791,0.7756160830090791,0.8365936511655149,0.8359302906908842,1.0,0.9565936419697739,0.7756160830090791,0.8365936511655149
BraTS-GLI-02193-101,0.9577209217927781,0.7400275103163686,0.7400275103163686,0.8692686623721106,0.812591980808505,1.0,0.9586172578728763,0.7400275103163686,0.8692686623721106
BraTS-GLI-02193-102,0.9561362527382399,0.8073394495412844,0.8073394495412844,0.8812919463087249,0.8569383839402697,1.0,0.9573005799206424,0.8073394495412844,0.8812919463087249
BraTS-GLI-02193-103,0.956429465820582,0.7629427792915532,0.7629427792915532,0.8803151196848803,0.8274383414678961,1.0,0.9569857973990418,0.7629427792915532,0.8803151196848803
BraTS-GLI-02193-104,0.9366558712469417,0.23376623376623376,0.23376623376623376,0.7772504024103347,0.46806277959313647,1.0,0.9382786117653736,0.23376623376623376,0.7772504024103347
BraTS-GLI-02193-105,0.927804085094353,0.4936737980216241,0.5645882662457248,0.6856158484065461,0.6620220497872339,0.0,0.9314162340943544,0.5645882662457248,0.6856158484065461
BraTS-GLI-02222-100,0.7693098019719944,0.867461044912924,0.867461044912924,0.8827129015808262,0.8347439639326142,1.0,0.6849477035015916,0.867461044912924,0.8827129015808262
BraTS-GLI-02228-100,0.9618213861537872,0.5707964601769911,0.5707964601769911,0.0,0.7011381021692565,1.0,0.9639197267292912,0.5707964601769911,0.0
BraTS-GLI-02241-100,0.8621654436995196,0.0,0.0,0.9769564688222646,0.28738848123317323,1.0,0.8638298997699204,0.0,0.9769564688222646
BraTS-GLI-02241-101,0.8529382909840086,1.0,1.0,0.9826629218831818,0.9509794303280028,1.0,0.8529382909840086,1.0,0.9826629218831818
BraTS-GLI-02241-102,0.8465302713987474,1.0,1.0,0.9850678217257495,0.9488434237995825,1.0,0.8465302713987474,1.0,0.9850678217257495
BraTS-GLI-02243-100,0.9700535326230986,0.9264554163596168,0.9467964681910799,0.9452109418613924,0.947768472391265,0.0,0.9758081383188864,0.9467964681910799,0.9452109418613924
BraTS-GLI-02243-101,0.9334192765602487,0.0,0.0,0.9661255943597311,0.3111397588534162,1.0,0.9333383892006674,0.0,0.9661255943597311
BraTS-GLI-02249-100,0.6752005461682881,1.0,1.0,0.985015390660816,0.8917335153894294,1.0,0.6752005461682881,1.0,0.985015390660816
BraTS-GLI-02249-101,0.9143789516622476,1.0,1.0,0.9812743904342668,0.9714596505540826,1.0,0.9143789516622476,1.0,0.9812743904342668
BraTS-GLI-02251-100,0.9846811779041045,0.943071753310931,0.9441389588365281,0.9780977643046609,0.9572972966838545,0.7361647361647362,0.985132236562636,0.9441389588365281,0.9780977643046609
BraTS-GLI-02254-100,0.8777818314483765,0.828988068935042,0.828988068935042,0.8695121951219512,0.8452526564394868,1.0,0.8294501397949674,0.828988068935042,0.8695121951219512
BraTS-GLI-02254-101,0.904703450058147,1.0,1.0,0.7495567375886525,0.9682344833527156,1.0,0.904703450058147,1.0,0.7495567375886525
BraTS-GLI-02327-100,0.8665511265164645,0.8909464279280902,0.8898357104170428,0.9633701347305389,0.8824444216205324,0.1935483870967742,0.7623923667675122,0.8898357104170428,0.9633701347305389
BraTS-GLI-02341-100,0.9756168444302363,0.9151742196907433,0.9629018677938725,1.0,0.9512309773049509,0.8195775284769923,0.9086584694439347,0.9629018677938725,1.0
BraTS-GLI-02355-100,0.9697547642548022,0.9219576883512833,0.9878700961010066,0.0,0.9598608495690307,0.0315893385982231,0.980530033629942,0.9878700961010066,0.0
