case_id,NETC_tp,NETC_fp,NETC_fn,NETC_prec,NETC_rec,NETC_f1,NETC_lesion_dice,SNFH_tp,SNFH_fp,SNFH_fn,SNFH_prec,SNFH_rec,SNFH_f1,SNFH_lesion_dice,ET_tp,ET_fp,ET_fn,ET_prec,ET_rec,ET_f1,ET_lesion_dice,RC_tp,RC_fp,RC_fn,RC_prec,RC_rec,RC_f1,RC_lesion_dice
BraTS-GLI-02136-101,6,2,5,0.7499999990624999,0.5454545449586776,0.6315789418282548,0.8331956738719309,3,3,1,0.49999999916666665,0.7499999981250001,0.5999999940000001,0.6056536233913933,2,2,3,0.49999999875,0.3999999992,0.4444444385185186,0.707450675158074,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.46572678658499894
BraTS-GLI-02136-102,7,7,7,0.49999999964285713,0.49999999964285713,0.4999999946428572,0.5493549031341514,2,8,2,0.1999999998,0.49999999875,0.28571428122448983,0.6764800822012709,3,0,3,0.9999999966666667,0.49999999916666665,0.6666666607407408,0.7070945076810785,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.23827824750484905
BraTS-GLI-02136-103,10,2,8,0.8333333326388889,0.5555555552469136,0.6666666614222223,0.7755872752687092,5,10,6,0.3333333331111111,0.45454545413223135,0.38461537943786983,0.5610327265374992,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.8662755822677181,1,0,2,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.4662379421307679
BraTS-GLI-02164-100,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.4741363142849828,2,3,1,0.3999999992,0.6666666644444444,0.49999999406250006,0.63701377059617,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.931638246041465,0,0,1,0.0,0.0,0.0,0.0
BraTS-GLI-02164-101,1,2,0,0.3333333322222222,0.9999999900000002,0.49999999375000004,0.9450549450579641,3,0,1,0.9999999966666667,0.7499999981250001,0.8571428497959185,0.6555477597133404,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.937500000000052,0,0,1,0.0,0.0,0.0,0.0
BraTS-GLI-02164-102,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.4820984003769831,1,0,4,0.9999999900000002,0.1999999996,0.33333332944444444,0.9312087657702977,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.951969453376254,1,0,3,0.9999999900000002,0.249999999375,0.3999999952,0.014276002722589137
BraTS-GLI-02164-103,1,2,0,0.3333333322222222,0.9999999900000002,0.49999999375000004,0.8764044943959096,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.9627042373296726,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9056839475329392,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9147421427332614
BraTS-GLI-02164-104,0,0,1,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9601227954766218,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.8422310756975254,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8940685336582117
BraTS-GLI-02186-100,2,1,0,0.6666666644444444,0.999999995,0.799999992,0.41166997035030867,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.9595557889997792,3,2,1,0.5999999988,0.7499999981250001,0.6666666602469137,0.5798059776480526,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.4786269430068697
BraTS-GLI-02186-101,1,6,0,0.14285714265306124,0.9999999900000002,0.24999999718750004,0.03295310520257951,1,1,2,0.4999999975,0.3333333322222222,0.39999999360000005,0.9166548980840845,5,0,4,0.9999999980000001,0.5555555549382716,0.7142857086734694,0.4578605359453559,0,0,7,0.0,0.0,0.0,0.0
BraTS-GLI-02186-102,7,12,21,0.3684210524376731,0.24999999991071428,0.2978723354821186,0.5667809687323281,3,6,2,0.3333333329629629,0.5999999988,0.42857142336734694,0.5602286457250502,5,16,19,0.23809523798185941,0.20833333324652778,0.22222221714567914,0.6060344671433682,0,0,0,0.0,0.0,0.0,0.0
BraTS-GLI-02186-103,0,0,0,0.0,0.0,0.0,0.0,1,7,8,0.12499999984374999,0.1111111109876543,0.11764705370242234,0.7584263304854449,2,1,34,0.6666666644444444,0.05555555554012345,0.10256410109138725,0.18748581807024162,1,0,1,0.9999999900000002,0.4999999975,0.6666666577777778,0.22192373039671742
BraTS-GLI-02193-100,0,0,0,0.0,0.0,0.0,0.0,3,0,1,0.9999999966666667,0.7499999981250001,0.8571428497959185,0.6199663798401837,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.81471389646029,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.8302227573751775
BraTS-GLI-02193-101,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.9999999900000002,0.1999999996,0.33333332944444444,0.9591986318104122,1,3,0,0.249999999375,0.9999999900000002,0.3999999952,0.7652916074002092,1,1,1,0.4999999975,0.4999999975,0.4999999925000001,0.8719973309609252
BraTS-GLI-02193-102,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.6666666644444444,0.49999999875,0.5714285648979592,0.502102280562116,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.8348753252090824,2,0,0,0.999999995,0.999999995,0.9999999900000001,0.584835246021422
BraTS-GLI-02193-103,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.999999995,0.49999999875,0.6666666600000001,0.892460756093719,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.8400954111806124,2,0,2,0.999999995,0.49999999875,0.6666666600000001,0.6123482237184013
BraTS-GLI-02193-104,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.999999995,0.3999999992,0.5714285657142857,0.5000909224239585,2,1,3,0.6666666644444444,0.3999999992,0.49999999406250006,0.30744632282976825,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.7772504024104266
BraTS-GLI-02193-105,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.9314247914446426,4,13,0,0.2352941175086505,0.9999999975,0.38095237750566896,0.5009013358090826,2,0,1,0.999999995,0.6666666644444444,0.799999992,0.5243101776112032
BraTS-GLI-02222-100,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.2857142853061225,0.6666666644444444,0.39999999500000005,0.6759876534720969,3,3,6,0.49999999916666665,0.3333333329629629,0.3999999946666667,0.6962493958265302,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.8827129015808397
BraTS-GLI-02228-100,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.9484256705103831,1,0,4,0.9999999900000002,0.1999999996,0.33333332944444444,0.5986078886341949,0,1,0,0.0,0.0,0.0,0.0
BraTS-GLI-02241-100,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.5999999988,0.5999999988,0.5999999938,0.5686341636586398,0,1,2,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9769564688222657
BraTS-GLI-02241-101,0,0,0,0.0,0.0,0.0,0.0,4,2,3,0.6666666655555555,0.571428570612245,0.6153846094674558,0.6042679537625959,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9826629218831826
BraTS-GLI-02241-102,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.4999999975,0.249999999375,0.33333332777777785,0.8462965128908008,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9850678217257501
BraTS-GLI-02243-100,0,6,0,0.0,0.0,0.0,0.0,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.9757605335936286,1,1,0,0.4999999975,0.9999999900000002,0.6666666577777778,0.9467169811321157,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9452109418614362
BraTS-GLI-02243-101,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.49999999875,0.999999995,0.6666666600000001,0.761816547402099,0,0,2,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9661255943597422
BraTS-GLI-02249-100,0,0,0,0.0,0.0,0.0,0.0,7,2,8,0.7777777769135802,0.46666666635555554,0.5833333281597223,0.5255133867306605,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.9850153906608166
